epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
57,446.798,0.52151,0.39762,1.08452,0.01147,0.99905,1,0.995,0.90729,0.5054,0.33408,1.02769,0.00197,0.0008912,0.0008912,0.0008912
58,454.678,0.53707,0.3978,1.06257,0.00935,0.99899,1,0.995,0.89727,0.49636,0.31679,0.99948,0.00174,0.0008714,0.0008714,0.0008714
59,461.432,0.52807,0.38349,1.08246,0.01202,0.99908,1,0.995,0.91739,0.4668,0.32746,1.01334,0.00145,0.0008516,0.0008516,0.0008516
60,469.431,0.53609,0.3925,1.1171,0.01105,0.99908,1,0.995,0.8914,0.49276,0.32635,1.01551,0.00118,0.0008318,0.0008318,0.0008318
61,476.064,0.52168,0.39228,1.0666,0.01149,0.99855,1,0.995,0.90885,0.46833,0.31369,1.03731,0.00121,0.000812,0.000812,0.000812
62,483.592,0.50772,0.38807,1.10208,0.01024,0.9987,1,0.995,0.91209,0.44694,0.30074,1.00189,0.00098,0.0007922,0.0007922,0.0007922
63,490.746,0.50645,0.38233,1.05059,0.00837,0.99872,1,0.995,0.90692,0.50219,0.31464,1.01396,0.00192,0.0007724,0.0007724,0.0007724
64,497.038,0.48482,0.35985,1.01226,0.00648,0.99865,1,0.995,0.92139,0.44277,0.30162,1.00122,0.00111,0.0007526,0.0007526,0.0007526
65,505.228,0.49757,0.38202,1.05384,0.00824,0.99868,1,0.995,0.93362,0.42297,0.29155,0.99688,0.00106,0.0007328,0.0007328,0.0007328
66,512.535,0.49473,0.38295,1.04126,0.01099,0.99902,1,0.995,0.92758,0.42443,0.27767,0.99597,0.00088,0.000713,0.000713,0.000713
67,520.539,0.50782,0.37565,1.06308,0.01201,0.99831,1,0.995,0.92573,0.4486,0.2937,0.9936,0.00117,0.0006932,0.0006932,0.0006932
68,527.19,0.4933,0.36592,1.03931,0.00846,0.99867,1,0.995,0.93263,0.41739,0.29387,0.99845,0.00083,0.0006734,0.0006734,0.0006734
